date,symbol,open,high,low,close,volume,adj_close
2019-02-01,IWM,149.35,149.68,148.58,149.18,17057900.0,143.11
2019-02-04,IWM,149.41,150.97,148.88,150.96,21301700.0,144.82
2019-02-05,IWM,151.01,151.6,150.24,151.12,18295900.0,144.97
2019-02-06,IWM,151.04,151.37,150.1,150.93,13720600.0,144.79
2019-02-07,IWM,149.92,150.7,148.39,149.69,22850800.0,143.6
2019-02-08,IWM,149.06,149.9,148.5,149.85,13463000.0,143.75
2019-02-11,IWM,150.29,151.15,149.63,151.1,16374800.0,144.95
2019-02-12,IWM,151.92,153.19,151.88,152.99,20779900.0,146.76
2019-02-13,IWM,153.42,153.76,152.7,153.42,15534500.0,147.18
2019-02-14,IWM,152.58,154.37,152.4,153.77,18251000.0,147.51
2019-02-15,IWM,154.78,156.24,154.27,156.22,27240200.0,149.86
2019-02-19,IWM,155.55,157.1,155.55,156.65,15856900.0,150.28
2019-02-20,IWM,156.66,157.58,156.53,157.39,18317400.0,150.99
2019-02-21,IWM,157.13,157.37,156.06,156.79,17497000.0,150.41
2019-02-22,IWM,157.27,158.27,157.1,158.15,20411800.0,151.71
2019-02-25,IWM,159.08,159.5,158.09,158.19,17957100.0,151.75
2019-02-26,IWM,158.01,158.19,156.89,157.1,21497300.0,150.71
2019-02-27,IWM,156.49,157.44,156.12,157.32,18194900.0,150.92
2019-02-28,IWM,157.09,157.48,156.37,156.78,18155300.0,150.4
2019-03-01,IWM,157.95,158.34,156.75,158.24,19247100.0,151.8
2019-03-04,IWM,158.54,158.78,155.59,156.81,23301800.0,150.43
2019-03-05,IWM,156.94,156.95,155.96,156.08,16798200.0,149.73
2019-03-06,IWM,156.02,156.08,152.88,153.02,29604600.0,146.79
2019-03-07,IWM,153.02,153.14,151.37,151.68,26822500.0,145.51
2019-03-08,IWM,150.84,151.76,150.61,151.64,20466800.0,145.47
2019-03-11,IWM,152.11,154.31,151.9,154.29,20854500.0,148.01
2019-03-12,IWM,154.4,154.98,153.8,154.37,18966800.0,148.09
2019-03-13,IWM,154.92,155.73,154.75,154.98,24109100.0,148.67
2019-03-14,IWM,154.9,155.02,154.2,154.35,14217500.0,148.07
2019-03-15,IWM,154.53,155.87,154.33,154.76,22025900.0,148.46
2019-03-18,IWM,155.06,156.45,154.48,155.75,24510200.0,149.41
2019-03-19,IWM,156.48,156.53,154.57,154.96,18633100.0,148.65
2019-03-20,IWM,154.54,155.42,152.41,153.26,29463200.0,147.42
2019-03-21,IWM,152.73,156.06,152.73,155.27,31845000.0,149.35
2019-03-22,IWM,154.2,154.54,149.57,149.62,40663000.0,143.91
2019-03-25,IWM,149.48,151.32,148.41,150.28,26454700.0,144.55
2019-03-26,IWM,151.47,152.82,150.79,151.86,21308600.0,146.07
2019-03-27,IWM,151.71,152.21,149.48,151.27,23477100.0,145.5
2019-03-28,IWM,151.79,152.93,150.93,152.62,19473300.0,146.8
2019-03-29,IWM,153.68,153.97,152.1,153.09,28298900.0,147.25
2019-04-01,IWM,154.29,154.92,153.72,154.76,20075200.0,148.86
2019-04-02,IWM,154.87,154.88,153.51,154.36,18253500.0,148.47
2019-04-03,IWM,155.74,156.15,154.73,155.16,19554700.0,149.24
2019-04-04,IWM,155.28,156.01,154.84,155.92,15909500.0,149.97
2019-04-05,IWM,156.3,157.47,156.19,157.38,21379000.0,151.38
2019-04-08,IWM,156.85,157.5,156.07,157.12,14202400.0,151.13
2019-04-09,IWM,156.46,156.7,154.91,155.2,18534200.0,149.28
2019-04-10,IWM,155.48,157.36,155.33,157.31,18938800.0,151.31
2019-04-11,IWM,157.52,157.68,156.81,157.11,12218700.0,151.12
2019-04-12,IWM,158.13,158.16,157.11,157.68,14120300.0,151.67
2019-04-15,IWM,157.95,158.1,156.5,157.17,10964000.0,151.18
2019-04-16,IWM,157.71,157.9,156.98,157.54,16782900.0,151.53
2019-04-17,IWM,158.09,158.11,155.2,156.1,17108500.0,150.15
2019-04-18,IWM,156.11,156.28,154.66,155.64,23276300.0,149.71
2019-04-22,IWM,155.31,155.81,154.52,155.23,15596800.0,149.31
2019-04-23,IWM,155.37,158.05,155.36,157.57,23396100.0,151.56
2019-04-24,IWM,157.62,158.69,157.37,158.06,18053100.0,152.03
2019-04-25,IWM,157.33,157.47,155.47,156.75,19365100.0,150.77
2019-04-26,IWM,156.96,158.49,156.4,158.27,16999100.0,152.23
2019-04-29,IWM,158.62,159.61,158.49,159.03,13698900.0,152.97
2019-04-30,IWM,159.15,159.19,156.96,158.29,24127500.0,152.25
2019-05-01,IWM,158.67,158.73,156.71,156.79,17734300.0,150.81
2019-05-02,IWM,156.64,158.15,155.68,157.52,22715700.0,151.51
2019-05-03,IWM,158.31,160.64,158.19,160.53,20178800.0,154.41
2019-05-06,IWM,158.18,161.11,158.01,160.71,21262100.0,154.58
2019-05-07,IWM,159.31,159.87,156.25,157.53,25434500.0,151.52
2019-05-08,IWM,157.26,158.09,156.65,156.76,16113700.0,150.78
2019-05-09,IWM,155.52,156.65,153.74,156.19,25259900.0,150.23
2019-05-10,IWM,155.59,156.83,153.67,156.62,26544700.0,150.65
2019-05-13,IWM,153.69,154.02,151.16,151.63,26936500.0,145.85
2019-05-14,IWM,151.96,154.17,151.7,153.54,15519200.0,147.69
2019-05-15,IWM,152.4,154.41,152.07,154.04,18410600.0,148.17
2019-05-16,IWM,154.51,156.18,154.44,155.0,13772100.0,149.09
2019-05-17,IWM,153.82,155.27,152.66,152.84,21534000.0,147.01
2019-05-20,IWM,151.93,152.82,151.41,151.78,18689800.0,145.99
2019-05-21,IWM,152.63,154.04,152.58,153.82,11659100.0,147.95
2019-05-22,IWM,153.22,153.59,152.0,152.53,13922600.0,146.71
2019-05-23,IWM,151.06,151.06,148.58,149.39,26379400.0,143.69
2019-05-24,IWM,150.38,151.09,149.79,150.79,16093100.0,145.04
2019-05-28,IWM,151.01,151.65,149.58,149.59,14042200.0,143.89
2019-05-29,IWM,148.84,148.93,147.36,148.34,22622300.0,142.68
2019-05-30,IWM,148.75,149.58,147.04,147.93,17739100.0,142.29
2019-05-31,IWM,146.19,146.84,145.32,145.86,25411300.0,140.3
2019-06-03,IWM,146.13,147.21,145.33,146.37,26554500.0,140.79
2019-06-04,IWM,147.92,150.29,146.42,150.16,21217600.0,144.43
2019-06-05,IWM,150.76,150.89,148.61,150.19,18184100.0,144.46
2019-06-06,IWM,150.12,150.52,148.31,149.8,20772500.0,144.09
2019-06-07,IWM,150.35,151.51,150.02,150.86,17107500.0,145.11
2019-06-10,IWM,151.45,153.14,151.45,151.75,18912300.0,145.96
2019-06-11,IWM,152.87,153.23,150.58,151.3,15373000.0,145.53
2019-06-12,IWM,151.18,151.78,150.62,151.47,11957600.0,145.69
2019-06-13,IWM,152.31,153.18,151.87,153.07,14839400.0,147.23
2019-06-14,IWM,152.88,152.94,151.72,151.73,16154800.0,145.94
2019-06-17,IWM,151.87,152.9,151.67,152.24,12509300.0,146.95
2019-06-18,IWM,153.27,155.15,152.26,154.01,22100800.0,148.66
2019-06-19,IWM,154.19,154.7,153.4,154.56,15625000.0,149.19
2019-06-20,IWM,156.05,156.22,154.44,155.29,17595700.0,149.89
2019-06-21,IWM,155.13,155.17,153.61,153.95,19854400.0,148.6
2019-06-24,IWM,154.36,154.41,152.0,152.08,24002600.0,146.8
2019-06-25,IWM,152.31,152.5,151.0,151.15,17462200.0,145.9
2019-06-26,IWM,151.7,152.22,150.76,150.8,15726900.0,145.56
2019-06-27,IWM,151.24,153.77,151.24,153.63,22278400.0,148.29
2019-06-28,IWM,153.95,156.02,153.94,155.5,35089900.0,150.1
2019-07-01,IWM,157.54,158.03,155.22,156.1,22850500.0,150.68
2019-07-02,IWM,156.02,156.12,154.26,155.15,19024600.0,149.76
2019-07-03,IWM,155.6,156.34,155.17,156.26,9115100.0,150.83
2019-07-05,IWM,155.49,156.74,154.86,156.68,14156700.0,151.24
2019-07-08,IWM,156.21,156.48,154.89,155.19,9735700.0,149.8
2019-07-09,IWM,154.54,155.43,154.48,155.4,12381600.0,150.0
2019-07-10,IWM,156.2,156.56,154.85,155.67,17325400.0,150.26
2019-07-11,IWM,155.89,155.94,154.22,154.91,14260800.0,149.53
2019-07-12,IWM,155.14,156.67,154.88,156.11,16678000.0,150.69
2019-07-15,IWM,156.56,156.59,154.85,155.29,12194300.0,149.89
2019-07-16,IWM,155.13,156.2,154.67,155.24,15152700.0,149.85
2019-07-17,IWM,155.24,155.34,153.73,154.13,14155100.0,148.78
2019-07-18,IWM,154.08,155.01,153.73,154.71,15705500.0,149.34
2019-07-19,IWM,154.94,155.43,153.82,153.82,17182600.0,148.48
2019-07-22,IWM,154.24,154.7,153.4,153.68,14474600.0,148.34
2019-07-23,IWM,154.28,154.72,153.54,154.7,15493200.0,149.33
2019-07-24,IWM,154.29,157.45,154.12,157.26,23823100.0,151.8
2019-07-25,IWM,157.18,157.24,155.09,155.36,17902500.0,149.96
2019-07-26,IWM,155.58,157.42,155.5,157.2,14260300.0,151.74
2019-07-29,IWM,157.19,157.36,155.6,156.15,13192200.0,150.73
